Age,City,Current Status,Do you own multiple profiles on Instagram?,Gender,Highest Education,Location (City Airport Code),Phone OS,State,Zone,"How many followers do you have on Instagram? (In case of multiple accounts, please mention the one with the maximum)",How many posts do you have on Instagram?,Latitude,Longitude,Time Spent on Facebook in last week (in minutes),Time Spent on Facebook in last weekend (in minutes),Time Spent on Instagram in last week (in minutes),Time Spent on Instagram in last weekend (in minutes),Time Spent on WhatsApp in last week (in minutes),Time Spent on WhatsApp in last weekend (in minutes),Total Facebook Usage,Total Instagram Usage,Total Social Media Usage,Total Week Usage,Total Weekend Usage,Total WhatsApp Usage
22,Mumbai,Student,No,Female,Graduation,BOM,iOs,Maharashtra,Western,632,29,18.987807,72.836447,436,120,538,132,497,143,556,670,"1,866","1,471",395,640
24,Vishakhapatnam,Student,Yes,Female,Graduation,VTZ,Android,Andhra Pradesh,Southern,40,7,17.704052,83.297663,420,120,90,120,420,300,540,210,"1,470",930,540,720
49,Delhi,Working professional,No,Female,Post graduation,DEL,Android,Delhi,Northern,535,80,28.651952,77.231495,360,120,600,120,"1,800",120,480,720,"3,120","2,760",360,"1,920"
25,Pune,Working professional,No,Female,Graduation,PNQ,Android,Maharashtra,Western,800,277,18.513271,73.849852,180,120,300,120,300,120,300,420,"1,140",780,360,420
25,Surat,Working professional,No,Male,Graduation,STV,iOs,Gujarat,Western,200,17,21.195944,72.830232,30,120,120,120,60,120,150,240,570,210,360,180
22,Chennai,Working professional,Yes,Female,Graduation,MAA,Android,Tamil Nadu,Southern,450,38,13.084622,80.248357,0,120,720,120,720,120,120,840,"1,800","1,440",360,840
29,Kolkata,Working professional,No,Female,Post graduation,CCU,Android,West Bengal,Eastern,800,5,22.562627,88.363044,300,120,300,60,420,180,420,360,"1,380","1,020",360,600
29,Kolkata,Self Employed,No,Male,Post graduation,CCU,Android,West Bengal,Eastern,641,0,22.562627,88.363044,240,120,120,60,360,180,360,180,"1,080",720,360,540
27,Mumbai,Working professional,No,Male,Post graduation,BOM,Android,Maharashtra,Western,230,37,18.987807,72.836447,300,120,60,30,300,120,420,90,930,660,270,420
43,Rajkot,Student,No,Male,Graduation,RAJ,Android,Gujarat,Western,40,0,22.291606,70.793217,120,120,10,20,450,180,240,30,900,580,320,630
49,Kolkata,Working professional,No,Male,Graduation,CCU,Android,West Bengal,Eastern,0,0,22.562627,88.363044,"1,400",120,0,0,500,300,"1,520",0,"2,320","1,900",420,800
56,Lucknow,Working professional,No,Male,Graduation,LKO,Android,Uttar Pradesh,Northern,0,0,26.839281,80.923133,300,120,0,0,750,270,420,0,"1,440","1,050",390,"1,020"
27,Kolkata,Self Employed,No,Female,Post graduation,CCU,Android,West Bengal,Eastern,10,5,22.562627,88.363044,120,120,0,0,300,180,240,0,720,420,300,480
21,Hyderabad,Student,No,Female,Graduation,Hyd,iOs,Telangana,Southern,0,0,17.384052,78.456355,420,120,0,0,300,100,540,0,940,720,220,400
53,Delhi,Sabbatical,No,Female,Post graduation,DEL,Android,Delhi,Northern,0,0,28.651952,77.231495,50,120,0,0,150,35,170,0,355,200,155,185
19,Kolkata,Student,No,Male,High School,CCU,Android,West Bengal,Eastern,78,12,22.562627,88.363044,476,117,156,48,234,50,593,204,"1,081",866,215,284
21,Lucknow,Sabbatical,No,Female,Graduation,LKO,Android,Uttar Pradesh,Northern,509,84,26.839281,80.923133,488,116,"1,431",560,"1,123",372,604,"1,991","4,090","3,042","1,048","1,495"
24,Varanasi,Working professional,No,Male,Graduation,VNS,Android,Uttar Pradesh,Northern,439,162,25.31774,83.005811,217,116,359,258,485,197,333,617,"1,632","1,061",571,682
21,Kolkata,Student,No,Female,Post graduation,CCU,iOs,West Bengal,Eastern,373,24,22.562627,88.363044,221,116,310,135,780,240,337,445,"1,802","1,311",491,"1,020"
19,Nainital,Student,No,Female,High School,PGH,Android,Uttarakhand,Northern,328,3,29.3919,79.4542,250,115,815,228,756,252,365,"1,043","2,416","1,821",595,"1,008"
19,Delhi,Student,No,Female,High School,DEL,Android,Delhi,Northern,341,83,28.651952,77.231495,548,113,861,308,694,232,661,"1,169","2,756","2,103",653,926
43,Vishakhapatnam,Sabbatical,No,Female,Post graduation,VTZ,Android,Andhra Pradesh,Southern,382,"1,286",17.704052,83.297663,282,113,112,44,341,136,395,156,"1,028",735,293,477
24,Delhi,Working professional,No,Male,Graduation,DEL,Android,Delhi,Northern,269,55,28.651952,77.231495,225,112,432,357,"1,753",973,337,789,"3,852","2,410","1,442","2,726"
26,Kolkata,Student,No,Male,Graduation,CCU,iOs,West Bengal,Eastern,442,18,22.562627,88.363044,100,112,650,345,"1,400",200,212,995,"2,807","2,150",657,"1,600"
21,Kolkata,Student,No,Male,Graduation,CCU,Android,West Bengal,Eastern,437,17,22.562627,88.363044,100,112,600,345,400,200,212,945,"1,757","1,100",657,600
21,Kolkata,Student,Yes,Male,Graduation,CCU,Android,West Bengal,Eastern,500,70,22.562627,88.363044,525,112,664,309,"1,088",200,637,973,"2,898","2,277",621,"1,288"
44,Kolkata,Sabbatical,No,Female,Graduation,CCU,Android,West Bengal,Eastern,0,0,22.562627,88.363044,479,112,0,0,445,123,591,0,"1,159",924,235,568
48,Kolkata,Working professional,No,Male,Post graduation,CCU,iOs,West Bengal,Eastern,102,4,22.562627,88.363044,321,111,91,23,873,543,432,114,"1,962","1,285",677,"1,416"
24,Mumbai,Sabbatical,No,Female,Post graduation,BOM,iOs,Maharashtra,Western,340,232,18.987807,72.836447,560,110,"1,211",328,"1,345",320,670,"1,539","3,874","3,116",758,"1,665"
24,Pune,Working professional,No,Male,Graduation,PNQ,iOs,Maharashtra,Western,510,127,18.513271,73.849852,350,110,720,300,600,80,460,"1,020","2,160","1,670",490,680
25,Mumbai,Working professional,No,Male,Graduation,BOM,Android,Maharashtra,Western,532,12,18.987807,72.836447,228,110,66,54,465,239,338,120,"1,162",759,403,704
25,Mumbai,Working professional,No,Male,Post graduation,BOM,Android,Maharashtra,Western,645,91,18.987807,72.836447,234,110,272,29,300,110,344,301,"1,055",806,249,410
26,Mumbai,Working professional,No,Male,Post graduation,BOM,iOs,Maharashtra,Western,621,190,18.987807,72.836447,453,109,765,271,986,342,562,"1,036","2,926","2,204",722,"1,328"
22,Jaipur,Student,No,Female,Graduation,JAI,Android,Rajasthan,Northern,304,46,26.913312,75.787872,320,108,465,164,387,117,428,629,"1,561","1,172",389,504
23,Delhi,Working professional,No,Male,Graduation,DEL,iOs,Delhi,Northern,"1,122",13,28.651952,77.231495,353,107,"1,144",340,"2,981",573,460,"1,484","5,498","4,478","1,020","3,554"
25,Kolkata,Working professional,No,Male,Graduation,CCU,Android,West Bengal,Eastern,657,89,22.562627,88.363044,165,107,357,114,"1,108",154,272,471,"2,005","1,630",375,"1,262"
21,Mumbai,Student,Yes,Male,Graduation,BOM,Android,Maharashtra,Western,"1,225",165,18.987807,72.836447,530,104,"1,563",348,956,222,634,"1,911","3,723","3,049",674,"1,178"
25,Chandigarh,Working professional,No,Female,Post graduation,IXC,iOs,Chandigarh,Northern,"12,336","1,190",30.736292,76.788398,215,104,780,225,420,68,319,"1,005","1,812","1,415",397,488
27,Hyderabad,Working professional,No,Male,Graduation,HYD,Android,Telangana,Southern,656,374,17.384052,78.456355,198,102,398,260,359,117,300,658,"1,434",955,479,476
22,Kolkata,Student,No,Female,Graduation,CCU,Android,West Bengal,Eastern,662,88,22.562627,88.363044,328,102,432,135,387,126,430,567,"1,510","1,147",363,513
31,Delhi,Working professional,No,Male,Graduation,DEL,iOs,Delhi,Northern,281,14,28.651952,77.231495,143,102,274,78,508,115,245,352,"1,220",925,295,623
21,Mumbai,Student,No,Female,Graduation,BOM,iOs,Maharashtra,Western,"3,443",98,18.987807,72.836447,240,100,"3,000","2,500","1,500","1,200",340,"5,500","8,540","4,740","3,800","2,700"
18,Mumbai,Student,No,Male,High School,BOM,Android,Maharashtra,Western,700,480,18.987807,72.836447,500,100,"3,700","1,200","1,000",400,600,"4,900","6,900","5,200","1,700","1,400"
24,Lucknow,Student,No,Male,Graduation,LKO,Android,Uttar Pradesh,Northern,471,57,26.839281,80.923133,300,100,"1,500","1,000","3,000","1,400",400,"2,500","7,300","4,800","2,500","4,400"
20,Kolkata,Student,Yes,Female,High School,CCU,Android,West Bengal,Eastern,369,112,22.562627,88.363044,100,100,"1,500",800,900,500,200,"2,300","3,900","2,500","1,400","1,400"
21,Kolkata,Student,No,Female,Graduation,CCU,Android,West Bengal,Eastern,102,2,22.562627,88.363044,630,100,"1,260",400,"1,260",400,730,"1,660","4,050","3,150",900,"1,660"
22,Kolkata,Student,No,Non Binary,Graduation,CCU,Android,West Bengal,Eastern,892,130,22.562627,88.363044,20,100,840,360,556,784,120,"1,200","2,660","1,416","1,244","1,340"
23,Delhi,Student,No,Female,Graduation,DEL,Android,Delhi,Northern,703,2,28.651952,77.231495,300,100,"1,200",360,"1,500",420,400,"1,560","3,880","3,000",880,"1,920"
25,Delhi,Working professional,No,Male,Post graduation,DEL,iOs,Delhi,Northern,"1,200",130,28.651952,77.231495,60,100,420,300,"1,300",600,160,720,"2,780","1,780","1,000","1,900"
18,Kolkata,Student,No,Male,High School,CCU,Android,West Bengal,Eastern,518,81,22.562627,88.363044,680,100,"1,480",300,"1,260",250,780,"1,780","4,070","3,420",650,"1,510"
22,Pune,Student,No,Male,Post graduation,PNQ,Android,Maharashtra,Western,619,321,18.513271,73.849852,60,100,518,278,900,240,160,796,"2,096","1,478",618,"1,140"
32,Kolkata,Working professional,No,Female,Post graduation,CCU,Android,West Bengal,Eastern,324,42,22.562627,88.363044,152,100,476,234,710,225,252,710,"1,897","1,338",559,935
35,Pune,Working professional,Yes,Female,Post graduation,PNQ,iOs,Maharashtra,Western,724,142,18.513271,73.849852,250,100,300,200,400,200,350,500,"1,450",950,500,600
29,Mumbai,Working professional,No,Female,Post graduation,BOM,iOs,Maharashtra,Western,547,148,18.987807,72.836447,200,100,400,200,240,150,300,600,"1,290",840,450,390
35,Bengaluru,Working professional,No,Male,Post graduation,BLR,iOs,Karnataka,Southern,476,7,12.977063,77.587106,700,100,400,200,500,140,800,600,"2,040","1,600",440,640
22,Bhopal,Student,No,Female,Graduation,BHO,Android,Madhya Pradesh,Central,313,10,23.254688,77.402892,407,100,552,186,868,236,507,738,"2,349","1,827",522,"1,104"
24,Delhi,Working professional,No,Female,Post graduation,DEL,Android,Delhi,Northern,330,31,28.651952,77.231495,176,100,234,178,743,210,276,412,"1,641","1,153",488,953
22,Kolkata,Student,No,Male,Graduation,CCU,iOs,West Bengal,Eastern,150,17,22.562627,88.363044,100,100,45,130,140,130,200,175,645,285,360,270
35,Chandigarh,Working professional,No,Female,Post graduation,IXC,iOs,Chandigarh,Northern,226,75,30.736292,76.788398,300,100,600,120,344,300,400,720,"1,764","1,244",520,644
22,Delhi,Student,No,Female,Graduation,DEL,iOs,Delhi,Northern,241,42,28.651952,77.231495,120,100,420,120,500,180,220,540,"1,440","1,040",400,680
25,Delhi,Working professional,No,Female,Graduation,DEL,iOs,Delhi,Northern,90,195,28.651952,77.231495,150,100,180,120,120,130,250,300,800,450,350,250
23,Indore,Student,No,Male,Graduation,IDR,Android,Madhya Pradesh,Central,350,6,22.717736,75.85859,400,100,500,120,300,120,500,620,"1,540","1,200",340,420
25,Mumbai,Working professional,No,Female,Post graduation,BOM,iOs,Maharashtra,Western,"1,683",84,18.987807,72.836447,300,100,300,100,600,200,400,400,"1,600","1,200",400,800
30,Ahmedabad,Sabbatical,No,Female,Post graduation,AMD,Android,Gujarat,Western,"1,334",190,23.025793,72.587265,160,100,20,50,160,90,260,70,580,340,240,250
47,Delhi,Sabbatical,No,Female,Graduation,DEL,Android,Delhi,Northern,100,10,28.651952,77.231495,80,100,25,17,45,60,180,42,327,150,177,105
23,Delhi,Working professional,No,Female,Graduation,DEL,iOs,Delhi,Northern,465,345,28.651952,77.231495,93,99,461,227,"1,587",514,192,688,"2,981","2,141",840,"2,101"
29,Pune,Working professional,No,Female,Graduation,PNQ,iOs,Maharashtra,Western,251,67,18.513271,73.849852,156,99,415,128,816,432,255,543,"2,046","1,387",659,"1,248"
19,Pune,Student,No,Male,High School,PNQ,iOs,Maharashtra,Western,528,89,18.513271,73.849852,189,98,"1,111",401,"1,233",389,287,"1,512","3,421","2,533",888,"1,622"
25,Lucknow,Student,No,Male,Graduation,LKO,Android,Uttar Pradesh,Northern,623,59,26.839281,80.923133,159,98,813,298,"1,009",361,257,"1,111","2,738","1,981",757,"1,370"
25,Lucknow,Working professional,No,Female,Graduation,LKO,Android,Uttar Pradesh,Northern,791,136,26.839281,80.923133,352,98,624,267,569,162,450,891,"2,072","1,545",527,731
24,DehraDun,Working professional,No,Male,Graduation,DED,iOs,Uttarakhand,Northern,837,228,30.324427,78.033922,153,98,159,224,521,188,251,383,"1,343",833,510,709
19,Chandigarh,Student,No,Female,High School,IXC,iOs,Chandigarh,Northern,230,18,30.736292,76.788398,200,98,425,127,642,180,298,552,"1,672","1,267",405,822
17,Delhi,Working professional,Yes,Male,Graduation,DEL,Android,Delhi,Northern,632,4,28.651952,77.231495,302,96,651,692,"1,115",63,398,"1,343","2,919","2,068",851,"1,178"
26,Kolkata,Working professional,No,Female,Graduation,CCU,Android,West Bengal,Eastern,374,666,22.562627,88.363044,356,96,380,148,246,67,452,528,"1,293",982,311,313
30,Delhi,Working professional,No,Male,Graduation,DEL,iOs,Delhi,Northern,66,0,28.651952,77.231495,180,96,39,24,329,135,276,63,803,548,255,464
51,Delhi,Working professional,No,Female,Graduation,DEL,Android,Delhi,Northern,0,0,28.651952,77.231495,184,96,0,0,223,72,280,0,575,407,168,295
29,Delhi,Working professional,Yes,Female,Post graduation,DEL,Android,Delhi,Northern,818,199,28.651952,77.231495,376,95,"1,163",614,939,160,471,"1,777","3,347","2,478",869,"1,099"
49,Nainital,Working professional,No,Male,Post graduation,PGH,Android,Uttarakhand,Northern,0,0,29.3919,79.4542,325,95,0,0,430,110,420,0,960,755,205,540
37,Delhi,Sabbatical,No,Female,Graduation,DEL,Android,Delhi,Northern,80,5,28.651952,77.231495,567,94,147,29,279,78,661,176,"1,194",993,201,357
25,Pune,Sabbatical,No,Male,Graduation,PNQ,iOs,Maharashtra,Western,315,49,18.513271,73.849852,300,92,960,300,195,47,392,"1,260","1,894","1,455",439,242
24,Delhi,Student,No,Female,Graduation,DEL,Android,Delhi,Northern,596,71,28.651952,77.231495,309,92,654,248,"2,893",441,401,902,"4,637","3,856",781,"3,334"
54,DehraDun,Working professional,No,Female,Graduation,DED,Android,Uttarakhand,Northern,0,0,30.324427,78.033922,140,92,0,0,423,103,232,0,758,563,195,526
25,Delhi,Working professional,No,Female,Post graduation,DEL,Android,Delhi,Northern,"1,654",76,28.651952,77.231495,68,91,7,613,"2,758",461,159,620,"3,998","2,833","1,165","3,219"
25,Delhi,Student,No,Male,Graduation,DEL,iOs,Delhi,Northern,102,27,28.651952,77.231495,1,91,"1,071",286,173,798,92,"1,357","2,420","1,245","1,175",971
24,Delhi,Working professional,Yes,Male,Post graduation,DEL,iOs,Delhi,Northern,"2,340",549,28.651952,77.231495,490,90,"1,250",480,"1,230",340,580,"1,730","3,880","2,970",910,"1,570"
28,Delhi,Working professional,Yes,Female,Graduation,DEL,Android,Delhi,Northern,"1,210",340,28.651952,77.231495,309,90,"1,210",340,870,250,399,"1,550","3,069","2,389",680,"1,120"
25,Kanpur,Working professional,Yes,Female,Graduation,KNU,iOs,UTTAR PRADESH,Northern,989,566,26.449923,80.3318736,300,90,"1,300",330,"1,100",300,390,"1,630","3,420","2,700",720,"1,400"
22,Pune,Student,No,Male,Graduation,PNQ,Android,Maharashtra,Western,878,47,18.513271,73.849852,340,90,"1,210",300,"1,480",480,430,"1,510","3,900","3,030",870,"1,960"
25,Madurai,Working professional,No,Male,Graduation,IXM,Android,Tamil Nadu,Southern,756,25,9.917347,78.119622,300,90,600,300,"1,200",200,390,900,"2,690","2,100",590,"1,400"
23,Surat,Student,No,Female,Post graduation,STV,Android,Gujarat,Western,283,15,21.195944,72.830232,200,90,150,120,625,180,290,270,"1,365",975,390,805
57,Chennai,Working professional,No,Male,Graduation,MAA,Android,Tamil Nadu,Southern,100,2,13.084622,80.248357,240,90,240,120,420,60,330,360,"1,170",900,270,480
22,Mumbai,Student,No,Male,Post graduation,BOM,iOs,Maharashtra,Western,930,18,18.987807,72.836447,210,90,210,90,420,180,300,300,"1,200",840,360,600
27,Bengaluru,Working professional,Yes,Female,Post graduation,BLR,iOs,Karnataka,Southern,350,57,12.977063,77.587106,180,90,181,60,300,120,270,241,931,661,270,420
20,Mumbai,Student,No,Female,Graduation,BOM,Android,Maharashtra,Western,0,0,18.987807,72.836447,140,90,0,0,938,351,230,0,"1,519","1,078",441,"1,289"
40,Surat,Working professional,No,Male,Graduation,STV,Android,Gujarat,Western,0,0,21.195944,72.830232,300,90,0,0,600,320,390,0,"1,310",900,410,920
15,Delhi,Working professional,No,Male,High School,DEL,Android,Delhi,Northern,0,0,28.651952,77.231495,10,90,0,0,"1,010",297,100,0,"1,407","1,020",387,"1,307"
23,Bhubaneshwar,Working professional,No,Male,Graduation,BBI,Android,Odisha,Eastern,300,1,20.272411,85.833853,0,90,180,0,660,90,90,180,"1,020",840,180,750
45,Jaipur,Working professional,No,Male,Graduation,JAI,Android,Rajasthan,Northern,0,0,26.913312,75.787872,80,90,0,0,120,50,170,0,340,200,140,170
19,Delhi,Student,Yes,Female,High School,DEL,iOs,Delhi,Northern,"1,052",175,28.651952,77.231495,239,89,512,186,405,164,328,698,"1,595","1,156",439,569
24,Kolkata,Student,No,Female,Post graduation,CCU,iOs,West Bengal,Eastern,289,35,22.562627,88.363044,78,89,123,106,789,387,167,229,"1,572",990,582,"1,176"
56,Delhi,Sabbatical,No,Male,High School,DEL,Others,Delhi,Northern,56,78,28.651952,77.231495,500,89,600,70,569,60,589,670,"1,888","1,669",219,629
20,Ahmedabad,Student,No,Male,Graduation,AMD,Android,Gujarat,Western,60,5,23.025793,72.587265,111,89,15,22,210,98,200,37,545,336,209,308
22,Mumbai,Working professional,Yes,Female,Graduation,BOM,iOs,Maharashtra,Western,"5,322",245,18.987807,72.836447,310,88,891,400,435,277,398,"1,291","2,401","1,636",765,712
22,Mumbai,Student,Yes,Male,Graduation,BOM,Android,Maharashtra,Western,511,106,18.987807,72.836447,195,88,716,162,914,211,283,878,"2,286","1,825",461,"1,125"
25,Delhi,Working professional,Yes,Male,Graduation,DEL,Android,Delhi,Northern,"22,100","1,602",28.651952,77.231495,120,87,"1,208",570,623,230,207,"1,778","2,838","1,951",887,853
41,Delhi,Working professional,No,Female,Post graduation,DEL,iOs,Delhi,Northern,"1,999",161,28.651952,77.231495,70,87,881,333,708,250,157,"1,214","2,329","1,659",670,958
29,Kolkata,Sabbatical,No,Female,Graduation,CCU,Android,West Bengal,Eastern,368,45,22.562627,88.363044,456,87,768,242,578,115,543,"1,010","2,246","1,802",444,693
22,Indore,Student,Yes,Male,Graduation,IDR,Android,Madhya Pradesh,Central,"1,312",342,22.717736,75.85859,116,87,552,156,846,196,203,708,"1,953","1,514",439,"1,042"
22,Mumbai,Working professional,No,Male,Graduation,BOM,Android,Maharashtra,Western,822,19,18.987807,72.836447,265,87,235,62,140,65,352,297,854,640,214,205
26,Mumbai,Working professional,No,Male,Post graduation,BOM,Android,Maharashtra,Western,928,167,18.987807,72.836447,298,86,453,192,"1,750",282,384,645,"3,061","2,501",560,"2,032"
23,Mumbai,Sabbatical,No,Male,Graduation,BOM,Android,Maharashtra,Western,526,109,18.987807,72.836447,190,86,332,136,125,76,276,468,945,647,298,201
22,Lucknow,Student,Yes,Male,Graduation,LKO,Android,Uttar Pradesh,Northern,230,51,26.839281,80.923133,492,86,661,114,545,67,578,775,"1,965","1,698",267,612
20,Jaipur,Student,No,Female,Graduation,JAI,Android,Rajasthan,Northern,436,156,26.913312,75.787872,145,85,"1,100",980,"1,478",544,230,"2,080","4,332","2,723","1,609","2,022"
24,Ahmedabad,Working professional,No,Male,Graduation,AMD,Android,Gujarat,Western,758,88,23.025793,72.587265,519,85,"1,149",260,"2,810",651,604,"1,409","5,474","4,478",996,"3,461"
26,Mumbai,Sabbatical,No,Female,Graduation,BOM,Android,Maharashtra,Western,272,9,18.987807,72.836447,68,84,568,342,"1,049",589,152,910,"2,700","1,685","1,015","1,638"
28,Guwahati,Working professional,No,Female,Graduation,GAU,iOs,Assam,North-Eastern,670,95,26.176076,91.762932,471,84,235,68,230,65,555,303,"1,153",936,217,295
27,Delhi,Working professional,No,Female,Post graduation,DEL,Android,Delhi,Northern,330,250,28.651952,77.231495,0,83,23,234,350,90,83,257,780,373,407,440
22,Delhi,Student,Yes,Male,Graduation,DEL,Android,Delhi,Northern,752,42,28.651952,77.231495,426,83,"1,151",179,"1,132",659,509,"1,330","3,630","2,709",921,"1,791"
25,Mumbai,Student,Yes,Male,Post graduation,BOM,Android,Maharashtra,Western,316,"2,858",18.987807,72.836447,19,83,120,179,998,96,102,299,"1,495","1,137",358,"1,094"
24,Delhi,Student,No,Female,Post graduation,DEL,Android,Delhi,Northern,916,81,28.651952,77.231495,0,83,24,161,"2,960",86,83,185,"3,314","2,984",330,"3,046"
25,Kolkata,Student,No,Male,Graduation,CCU,Android,West Bengal,Eastern,301,16,22.562627,88.363044,431,83,367,108,"2,318",569,514,475,"3,876","3,116",760,"2,887"
26,Mumbai,Working professional,Yes,Male,Post graduation,BOM,Android,Maharashtra,Western,"3,284",92,18.987807,72.836447,320,82,"1,076",585,"1,885",243,402,"1,661","4,191","3,281",910,"2,128"
24,Bengaluru,Working professional,No,Female,Graduation,BLR,Android,Karnataka,Southern,975,198,12.977063,77.587106,640,82,858,394,"1,670",325,722,"1,252","3,969","3,168",801,"1,995"
20,Bengaluru,Working professional,No,Male,Graduation,BLR,iOs,Karnataka,Southern,574,94,12.977063,77.587106,138,82,"1,458",274,795,84,220,"1,732","2,831","2,391",440,879
19,Kolkata,Student,No,Female,High School,CCU,Android,West Bengal,Eastern,800,42,22.562627,88.363044,467,82,603,156,"1,133",290,549,759,"2,731","2,203",528,"1,423"
46,Rajkot,Working professional,No,Male,Post graduation,RAJ,Android,Gujarat,Western,0,0,22.291606,70.793217,962,82,0,0,"1,650",238,"1,044",0,"2,932","2,612",320,"1,888"
26,Mumbai,Working professional,Yes,Male,Graduation,BOM,iOs,Maharashtra,Western,"2,971",358,18.987807,72.836447,176,81,732,312,"1,142",503,257,"1,044","2,946","2,050",896,"1,645"
26,Pune,Working professional,No,Male,Post graduation,PNQ,Android,Maharashtra,Western,212,9,18.513271,73.849852,0,80,250,720,600,"1,200",80,970,"2,850",850,"2,000","1,800"
21,Delhi,Student,No,Male,High School,DEL,iOs,Delhi,Northern,219,25,28.651952,77.231495,240,80,"1,100",550,"1,200",550,320,"1,650","3,720","2,540","1,180","1,750"
23,Delhi,Student,No,Female,Graduation,DEL,Android,Delhi,Northern,700,256,28.651952,77.231495,90,80,500,400,"1,326","1,000",170,900,"3,396","1,916","1,480","2,326"
23,Chandigarh,Working professional,Yes,Male,Graduation,IXC,Android,Chandigarh,Northern,784,145,30.736292,76.788398,340,80,"1,200",240,670,450,420,"1,440","2,980","2,210",770,"1,120"
23,Pune,Student,No,Male,Graduation,PNQ,iOs,Maharashtra,Western,600,30,18.513271,73.849852,150,80,750,150,"1,550",250,230,900,"2,930","2,450",480,"1,800"
24,Kolkata,Student,No,Male,Graduation,CCU,Android,West Bengal,Eastern,550,25,22.562627,88.363044,185,80,660,140,"1,500",140,265,800,"2,705","2,345",360,"1,640"
25,Mumbai,Working professional,No,Male,Graduation,BOM,Android,Maharashtra,Western,"1,200",300,18.987807,72.836447,190,80,345,125,720,166,270,470,"1,626","1,255",371,886
25,Baroda,Working professional,Yes,Male,Graduation,BDQ,Android,Gujarat,Western,357,35,22.3072,73.1812,332,80,522,112,135,60,412,634,"1,241",989,252,195
24,Kolkata,Student,No,Female,Graduation,CCU,Android,West Bengal,Eastern,328,43,22.562627,88.363044,420,80,600,100,420,120,500,700,"1,740","1,440",300,540
22,Raipur,Student,No,Male,Graduation,RPR,iOs,Chhattisgarh,Central,120,9,21.233333,81.633333,30,80,20,60,10,20,110,80,220,60,160,30
22,Raipur,Student,No,Male,Graduation,RPR,iOs,Chhattisgarh,Central,120,9,21.233333,81.633333,30,80,20,60,10,20,110,80,220,60,160,30
25,Pune,Working professional,No,Male,Post graduation,PNQ,iOs,Maharashtra,Western,480,90,18.513271,73.849852,100,80,200,50,900,200,180,250,"1,530","1,200",330,"1,100"
28,Kolkata,Working professional,Yes,Female,Post graduation,CCU,iOs,West Bengal,Eastern,420,370,22.562627,88.363044,15,80,50,20,40,60,95,70,265,105,160,100
45,Udaipur,Sabbatical,No,Female,High School,UDR,Android,Rajasthan,Northern,34,5,24.57951,73.690508,660,80,13,0,265,80,740,13,"1,098",938,160,345
24,Delhi,Working professional,No,Male,Graduation,DEL,Android,Delhi,Northern,390,245,28.651952,77.231495,245,79,227,267,400,345,324,494,"1,563",872,691,745
23,Bagdogra,Working professional,No,Female,Graduation,IXB,iOs,West Bengal,Eastern,264,47,26.6986,88.3117,254,79,459,129,123,45,333,588,"1,089",836,253,168
40,Hyderabad,Student,No,Male,High School,HYD,Android,Telangana,Southern,0,0,17.384052,78.456355,565,79,0,0,"2,135",390,644,0,"3,169","2,700",469,"2,525"
23,Kolkata,Sabbatical,No,Female,Graduation,CCU,Android,West Bengal,Eastern,343,66,22.562627,88.363044,98,78,453,379,367,289,176,832,"1,664",918,746,656
22,Bengaluru,Sabbatical,No,Male,Graduation,BLR,iOs,Karnataka,Southern,340,56,12.977063,77.587106,340,78,895,354,480,150,418,"1,249","2,297","1,715",582,630
25,Mumbai,Working professional,No,Male,Graduation,BOM,iOs,Maharashtra,Western,587,112,18.987807,72.836447,322,78,386,208,536,312,400,594,"1,842","1,244",598,848
18,Delhi,Student,No,Male,Graduation,DEL,Android,Delhi,Northern,476,85,28.651952,77.231495,34,78,129,197,57,78,112,326,573,220,353,135
32,Delhi,Working professional,No,Female,Graduation,DEL,Android,Delhi,Northern,865,82,28.651952,77.231495,67,78,132,167,97,105,145,299,646,296,350,202
23,Kolkata,Sabbatical,No,Male,Graduation,CCU,Android,West Bengal,Eastern,765,174,22.562627,88.363044,278,78,487,164,"1,389",378,356,651,"2,774","2,154",620,"1,767"
18,Mumbai,Student,No,Female,Graduation,BOM,Android,Maharashtra,Western,545,89,18.987807,72.836447,247,78,376,120,405,157,325,496,"1,383","1,028",355,562
28,Indore,Working professional,No,Male,Post graduation,IDR,Android,Madhya Pradesh,Central,778,163,22.717736,75.85859,100,78,192,55,620,150,178,247,"1,195",912,283,770
37,Delhi,Working professional,No,Male,Post graduation,DEL,Android,Delhi,Northern,123,12,28.651952,77.231495,53,78,23,16,92,46,131,39,308,168,140,138
19,Kolkata,Student,No,Male,Graduation,CCU,Android,West Bengal,Eastern,338,46,22.562627,88.363044,104,77,276,129,234,98,181,405,918,614,304,332
36,Bengaluru,Working professional,No,Male,Graduation,BLR,iOs,Karnataka,Southern,527,54,12.977063,77.587106,45,76,124,115,654,278,121,239,"1,292",823,469,932
26,Delhi,Working professional,No,Female,Graduation,DEL,iOs,Delhi,Northern,"1,500",45,28.651952,77.231495,250,75,500,200,370,150,325,700,"1,545","1,120",425,520
24,Mumbai,Working professional,No,Male,Graduation,BOM,Android,Maharashtra,Western,339,90,18.987807,72.836447,212,75,531,134,286,290,287,665,"1,528","1,029",499,576
25,Baroda,Student,No,Male,Post graduation,BDQ,iOs,Gujarat,Western,"1,060",21,22.3072,73.1812,198,75,245,92,"1,372",232,273,337,"2,214","1,815",399,"1,604"
